,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,,,,,,
2017,4,,,,,,
2017,5,,,,,,
2017,6,,,,,,
2017,7,,,,,,
2017,8,,,,,,
2017,9,,,,,,
2017,10,,,,,,
2017,11,,,,,,
2017,12,,,,,,
2017,13,,,,,,
2017,14,,,,,,
2017,15,,,,,,
2017,16,,,,,,
2017,17,,,,,,
2017,18,,,,,,
2017,19,,,,,,4.0
2017,20,,,,,,
2017,21,,,,,,
2017,22,,,,,,
2017,23,,,,,,
2017,24,,,,,,3.0
2017,25,,,,,,
2017,26,,,,,,2.0
2017,27,,,,,,
2017,28,,,,,,
2017,29,,,,,,1.0
2017,30,,,,,,
2017,31,,,,,,
2017,32,,,,,,3.0
2017,33,,,,,,
2017,34,,,,,,
2017,35,,,,,,
2017,36,,,,,,
2017,37,,,,,,
2017,38,,,,,,
2017,39,,,,,,1.0
2017,40,,,,,,
2017,41,,,,,,
2017,42,,,,,,
2017,43,,,,,,2.0
2017,44,,,,,,5.0
2017,45,,,,,,
2017,46,,,,,,
2017,47,,,,,,
2017,48,,,,,,
2017,49,,,,,,
2017,50,,,,,,1.0
2017,51,,,,,,
2017,52,,,,,,1.0
2017,53,,,,,,
2018,1,,,,,,2.0
2018,2,,,,,,1.0
2018,3,,,,,,
2018,4,,,,,,1.0
2018,5,,,,,,1.0
2018,6,,,,,,2.0
2018,7,,,,,,2.0
2018,8,,,,,,2.0
2018,9,,,,,,
2018,10,,,,,,3.0
2018,11,,,,,,4.0
2018,12,,,,,,1.0
2018,13,,,,,,
2018,14,,,,,,3.0
2018,15,,,,,,3.0
2018,16,,,,,,3.0
2018,17,,,,,,3.0
2018,18,,,,,,1.0
2018,19,,,,,,2.0
2018,20,,,,,,4.0
2018,21,,,,,,7.0
2018,22,,,,,,1.0
2018,23,,,,,,2.0
2018,24,,,,,,1.0
2018,25,,,,,,2.0
2018,26,,,,,,2.0
2018,27,,,,,,
2018,28,,,,,,1.0
2018,29,,,,,,2.0
2018,30,,,,,,7.0
2018,31,,,,,,4.0
2018,32,,,,,,6.0
